"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
715,0.1,76.53,3.8,33,0.2690089943,2.3976888619,0,-13.8155,-12.6963,-1.1192,3,-7.1752,-9.2069,2.0317,0.31,2.10924,10.03,4.54,300,39960
716,6.65,0.1,6.1,21.7,0.6269637658,6.0672796979,8,-9.6186,-9.7677,0.1491,0,-13.8155,-11.5309,-2.2846,5.73,5.72719,0.98,2.71,1185,122175
717,9.26,0.1,6.5,17.4,0.8756714179,9.4572513135,4,-9.2877,-10.3209,1.0331,0,-13.8155,-12.1713,-1.6442,3.29,5.72719,0.52,4.49,1190,43690
718,35.13,134.91,9.1,99.3,5.1056590697,34.524980485,106,-7.9538,-7.9647,0.0109,31,-6.6083,-6.8248,0.2165,34.75,30.17837,108.65,2.24,22995,302570
719,9.42,0.1,5.2,6.8,0.1303945108,3.1501515274,3,-9.2701,-9.4134,0.1432,0,-13.8155,-11.3029,-2.5126,8.16,11.23266,1.23,5.68,90,32190
720,7.23,210.63,5.1,1.5,0.7135428005,12.534165397,1,-9.534,-10.2064,0.6725,1,-6.1628,-9.8101,3.6473,3.69,5.72719,5.49,5.45,525,14015
721,0.1,0.1,6.7,10.1,0.0868055556,1.1012391068,0,-13.8155,-13.0707,-0.7448,0,-13.8155,-13.4672,-0.3483,0.21,0.81908,0.14,5.77,40,17060
722,0.1,0.1,4.6,9.9,0.3075483051,4.3249908998,0,-13.8155,-11.7899,-2.0256,0,-13.8155,-11.9709,-1.8446,0.76,2.10924,0.63,6.09,290,59970
723,57.15,248,9.1,2411.2,9.1543696313,34.266178333,2248,-7.4672,-7.556,0.0889,1110,-5.9995,-6.0106,0.0111,52.3,52.29629,245.26,0,447765,3940035
724,34.77,0.1,8.3,18.9,0.4429139498,51.941258036,18,-7.9643,-8.176,0.2117,0,-13.8155,-13.2869,-0.5286,28.13,28.1325,0.17,4.12,525,51925
725,3.73,206.48,7.2,9,4.5079462103,26.587852856,1,-10.1953,-9.3465,-0.8489,67,-6.1827,-6.4041,0.2214,8.73,10.01742,165.48,5.89,1930,27515
726,18.24,0.1,6.8,8,0.5003178815,3.5948254416,4,-8.6091,-9.9165,1.3074,0,-13.8155,-13.2567,-0.5588,4.94,4.05895,0.17,3.46,230,22045
727,2.93,0.1,6,58.3,0.5128426665,2.2642836865,2,-10.4365,-9.9338,-0.5026,0,-13.8155,-12.875,-0.9405,4.85,10.63154,0.26,4,775,70565
728,4.96,0.1,5.4,9.7,0.0769240798,1.140823218,1,-9.9108,-9.905,-0.0057,0,-13.8155,-10.1717,-3.6438,4.99,4.99244,3.82,5.46,30,20560
729,5.93,0.1,5.7,4.7,0.1068612278,13.659812809,1,-9.7327,-9.7346,0.0018,0,-13.8155,-12.6172,-1.1983,5.92,5.72719,0.33,7.12,60,17150
730,7.65,0.1,4.8,12.3,0.1079885841,15.933458463,1,-9.4782,-10.794,1.3158,0,-13.8155,-11.8783,-1.9372,2.05,2.10924,0.69,7,55,13245
731,41.31,31.74,7.7,5.4,0.2462257816,46.292934066,6,-7.7919,-8.8094,1.0176,1,-8.0552,-7.8151,-0.2401,14.93,15.42555,40.36,7.79,145,14560
732,14.18,0.1,8,17.3,1.4755521855,53.30760952,10,-8.8609,-8.5912,-0.2697,0,-13.8155,-13.3442,-0.4713,18.57,17.35578,0.16,3.51,1430,71010
733,0.1,0.1,3.9,2.5,0,0.6001714776,0,-13.8155,-11.9244,-1.8911,0,-13.8155,-12.4127,-1.4028,0.66,0.66267,0.41,9,0,1485
734,5.29,0.1,5.6,19.4,0.1603260226,1.7351540472,2,-9.8476,-9.7183,-0.1293,0,-13.8155,-11.5078,-2.3077,6.02,6.01722,1.01,5.33,115,38555
735,0.1,0.1,5.1,4.3,0.0353704068,4.1894281784,0,-13.8155,-9.3714,-4.4441,0,-13.8155,-11.9589,-1.8567,8.51,8.51241,0.64,7,15,8760
736,5.61,107.54,6.8,372.1,3.7231937874,2.7541463115,37,-9.7891,-9.3544,-0.4348,44,-6.8351,-6.6845,-0.1506,8.66,10.63154,125.01,0.44,40955,672030
737,15.01,43.58,7.5,94.3,2.693879019,23.168209677,30,-8.8041,-8.6382,-0.1659,4,-7.7384,-8.7513,1.013,17.72,17.92014,15.83,2.75,9200,201180
