Organ,Type,OrganType,Year,Value,,,,,,,,,
All,Transplanted,All Transplanted,2006,24449.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2006,11906.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2006,6309.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2006,2249.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2006,1433.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2006,2381.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2006,171.000000,,,,,,,,,
All,Donors,All Donors,2006,8017.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2006,3.522265,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2006,1.780467,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2006,0.874891,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2006,0.283897,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2006,0.253087,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2006,0.306973,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2006,0.022951,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2006,3.049645,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2006,1.485094,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2006,0.786953,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2006,0.280529,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2006,0.178745,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2006,0.296994,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2006,0.021330,,,,,,,,,
All,Recovered,All Recovered,2005,26831.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2005,13313.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2005,6692.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2005,2220.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2005,2048.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2005,2374.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2005,184.000000,,,,,,,,,
All,Transplanted,All Transplanted,2005,23278.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2005,11102.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2005,6041.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2005,2190.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2005,1466.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2005,2308.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2005,171.000000,,,,,,,,,
All,Donors,All Donors,2005,7593.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2005,3.533649,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2005,1.753325,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2005,0.881338,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2005,0.292375,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2005,0.269722,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2005,0.312656,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2005,0.024233,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2005,3.065718,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2005,1.462136,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2005,0.795601,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2005,0.288424,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2005,0.193073,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2005,0.303964,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2005,0.022521,,,,,,,,,
All,Recovered,All Recovered,2004,25143.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2004,12570.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2004,6319.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2004,2096.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2004,2022.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2004,1970.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2004,166.000000,,,,,,,,,
All,Transplanted,All Transplanted,2004,21897.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2004,10486.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2004,5777.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2004,2074.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2004,1516.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2004,1898.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2004,146.000000,,,,,,,,,
All,Donors,All Donors,2004,7150.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2004,3.516503,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2004,1.758042,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2004,0.883776,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2004,0.293147,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2004,0.282797,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2004,0.275524,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2004,0.023217,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2004,3.062517,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2004,1.466573,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2004,0.807972,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2004,0.290070,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2004,0.212028,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2004,0.265455,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2004,0.020420,,,,,,,,,
All,Recovered,All Recovered,2003,22899.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2003,11433.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2003,5682.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2003,2119.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2003,1775.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2003,1768.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2003,122.000000,,,,,,,,,
All,Transplanted,All Transplanted,2003,20322.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2003,9765.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2003,5263.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2003,2096.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2003,1384.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2003,1702.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2003,112.000000,,,,,,,,,
All,Donors,All Donors,2003,6457.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2003,3.546384,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2003,1.770637,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2003,0.879975,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2003,0.328171,,,,,,,,,
